product_id,real_tn,pred_tn,tn_feb
20001,1504.688560,1301.754341,1194.589702
20002,1087.308550,1121.982585,1012.206272
20003,892.501290,837.799399,600.926636
20004,637.900020,589.316432,370.180492
20005,593.244430,430.478262,400.910748
20006,417.232280,444.862712,369.905186
20007,390.434320,376.795261,296.182427
20008,195.368540,370.804355,298.856955
20009,495.035740,599.205798,363.076460
20010,359.599980,394.659985,217.156261
20011,392.382900,327.456156,285.269165
20012,173.130040,372.310538,242.787243
20013,318.091410,335.216784,273.076880
20014,272.028120,408.249324,245.135142
20015,297.276630,291.366697,272.459514
20016,273.202020,251.815373,208.894312
20017,216.907730,252.886924,212.755615
20018,141.635700,269.736193,211.886093
20019,351.547080,280.955524,203.164430
20020,266.063580,263.564370,176.151048
20021,203.767210,210.204353,163.562139
20022,210.834600,242.955346,161.840357
20023,181.132770,205.555455,172.097321
20024,270.450180,177.933039,163.430893
20025,241.834320,200.818155,176.833608
20026,235.104190,226.788730,199.445125
20027,155.258760,201.972133,163.693904
20028,109.926180,182.288331,145.135577
20029,150.648690,180.529814,122.460749
20030,102.757200,132.211080,128.430988
20031,139.915770,184.054325,130.265149
20032,527.798110,551.966965,372.890024
20033,96.762120,153.295545,120.632853
20035,179.979120,140.963776,131.336069
20037,63.372740,96.055758,126.140855
20038,157.684770,138.245967,138.172253
20039,128.403940,125.368619,129.825729
20041,113.113790,117.157327,123.654615
20042,124.200860,160.361610,127.956143
20043,93.772220,122.446403,125.103390
20044,59.617470,155.929948,127.596901
20045,149.899610,118.544490,111.315751
20046,149.956300,123.853663,121.204330
20047,71.497630,145.566963,132.591720
20049,124.848360,174.503729,139.086835
20050,117.027420,112.327849,125.974888
20051,132.460380,105.439535,116.643527
20052,95.510680,95.754985,113.814210
20053,146.365840,121.680647,126.079751
20054,121.209100,124.555133,130.409094
20055,65.857470,91.212887,112.750776
20056,63.718200,97.921640,104.663826
20057,141.367740,103.606443,99.511813
20058,117.829850,96.668676,99.333727
20059,111.511390,99.895018,114.777889
20061,106.448950,107.453466,116.526541
20062,90.976370,85.329314,89.505381
20063,103.523720,110.507606,97.800475
20065,77.985180,112.850662,113.348953
20066,119.281340,106.325359,100.197413
20067,88.495660,105.284250,92.972282
20068,92.927370,99.557439,93.769380
20069,136.639840,95.371412,105.132396
20070,68.443160,98.331935,91.838569
20071,104.770910,107.207715,95.991263
20072,32.268600,94.848076,105.560183
20073,122.470190,95.467596,100.837866
20074,98.075530,68.116122,75.867771
20075,105.429610,96.142159,107.005203
20076,68.459220,92.811216,86.853476
20077,34.588470,87.434630,75.160457
20079,27.684960,69.453505,64.602392
20080,8.844260,100.880093,96.391004
20081,94.258710,86.691045,83.674665
20082,78.870820,65.923482,77.260705
20084,94.682360,108.745270,86.047537
20085,221.564040,147.680250,133.212186
20086,42.519790,59.063069,77.577415
20087,89.630080,67.111907,84.037233
20089,102.336260,136.449718,131.782840
20090,35.977120,67.736938,76.585366
20091,92.243450,95.717946,97.820356
20092,47.452860,66.016527,75.425082
20093,73.284120,73.763813,76.354296
20094,59.129540,84.541781,96.783185
20095,28.528530,73.063836,73.061303
20096,44.246110,63.505156,59.202671
20097,55.290780,61.211962,65.096124
20099,57.827130,63.496343,61.652479
20100,1.379200,76.767344,62.892762
20101,72.800910,69.444740,70.162740
20102,19.177970,54.724019,53.897971
20103,63.996220,72.840019,64.929302
20106,74.512620,61.806315,64.728155
20107,86.056660,75.261807,77.186365
20108,58.347180,60.721406,56.990311
20109,61.843200,51.321974,54.234625
20111,93.888180,68.258439,73.137369
20112,107.062630,70.904034,72.091441
20114,44.160480,66.439544,62.959119
20116,118.602050,87.813785,76.646919
20117,36.032500,54.162842,49.062861
20118,61.151230,59.082650,55.841520
20119,36.268670,59.863607,59.549463
20120,72.210680,64.281968,63.238162
20121,78.966850,83.812473,73.432546
20122,64.622550,62.946602,61.126072
20123,59.148180,58.228089,61.130190
20124,38.108410,61.684945,55.362454
20125,47.559330,66.355255,66.800062
20126,94.952880,83.012417,67.179408
20127,170.327920,150.904354,131.286449
20129,52.923390,57.690684,57.090965
20130,83.307700,96.085205,82.435694
20132,40.091610,62.836685,61.968175
20133,30.835350,59.059714,60.075163
20134,49.983570,63.440730,66.515358
20135,101.031750,85.252219,56.250638
20137,37.551270,49.143474,53.355073
20138,28.334950,45.567590,47.376808
20139,53.488890,56.258908,66.810962
20140,58.149000,66.301803,60.015781
20142,35.894110,51.127938,52.968340
20143,29.927790,84.053533,82.509676
20144,41.306040,52.064246,51.592598
20145,65.412740,62.022108,51.953976
20146,30.472260,54.104747,45.273033
20148,57.163380,55.773344,58.892012
20150,51.351960,89.845745,74.212263
20151,44.811840,43.351763,47.707227
20152,23.926670,41.737369,49.467264
20153,48.788810,61.913996,51.302843
20155,61.251750,49.508815,49.208402
20157,55.776240,58.920259,46.961840
20158,55.025880,57.441182,49.467869
20159,61.783390,80.169656,69.413962
20160,43.188150,46.860548,49.091795
20161,34.922500,50.608246,46.708317
20162,51.436340,53.024984,57.659609
20164,71.334900,56.945071,61.735806
20166,33.525790,46.492302,49.384976
20167,43.851730,48.077918,47.504271
20168,15.155560,30.828799,35.764861
20170,64.410800,73.245863,63.026827
20174,91.117800,83.521244,82.830803
20175,19.708950,46.712253,45.522131
20176,23.876120,40.220796,42.359044
20177,24.516960,38.282268,38.824488
20179,39.701940,42.223344,36.002410
20180,36.956110,32.645399,31.881734
20181,33.362840,38.719598,38.509656
20182,20.879610,35.321927,39.634835
20183,20.475730,32.500997,34.827249
20184,26.132960,38.495992,39.078269
20187,19.990260,35.542728,36.176436
20188,22.888250,36.034266,33.423943
20189,32.594890,41.871252,43.192848
20192,21.453540,37.017110,35.941010
20193,24.927240,39.198830,36.696133
20196,35.180600,34.294804,36.620309
20197,27.909180,32.659519,37.576246
20198,22.408040,37.141869,36.022049
20200,20.878570,34.224875,34.772924
20201,26.166990,33.144420,37.144277
20202,24.481130,35.947754,37.400089
20203,55.209700,41.816541,48.301337
20205,29.131910,34.122241,36.262860
20206,23.434320,31.704040,32.377951
20207,18.516920,29.362974,30.484807
20208,20.142270,32.019254,33.195747
20209,16.081160,31.385379,34.919416
20210,58.782610,59.363385,49.276482
20211,16.109220,29.706854,32.814327
20212,22.494790,32.297805,34.167450
20213,58.840430,73.879238,60.254231
20215,23.140090,32.073157,32.070664
20216,9.202840,22.085848,22.756927
20218,31.369320,33.447576,31.833857
20219,23.106710,24.540263,25.931652
20220,19.464850,27.048029,27.266221
20222,21.013340,23.341274,21.945389
20224,21.269430,33.786063,29.809400
20225,16.662520,25.385498,27.995222
20226,11.328010,24.797003,26.006305
20227,38.712650,44.678780,44.968647
20228,5.038510,18.325535,22.083599
20230,18.179210,22.976588,26.394860
20231,21.315420,24.296922,23.745555
20232,28.282800,41.207051,42.366420
20233,35.595320,23.380759,35.779644
20234,4.847960,14.024483,23.410142
20235,32.135520,52.498395,47.572862
20236,34.703410,72.947488,52.375408
20237,29.516730,40.808343,36.574646
20238,16.616310,28.148480,30.970024
20239,20.102790,19.122142,22.718394
20240,19.519770,22.048112,24.198825
20241,12.815800,24.261605,23.673805
20242,4.036040,20.803068,22.382029
20244,26.461540,21.658709,23.659781
20246,24.609390,21.003258,22.460407
20249,8.000530,16.852584,23.169786
20251,14.796410,26.382503,24.606181
20252,12.205970,20.999405,22.576186
20253,15.268850,20.983666,23.403272
20254,17.468470,23.008428,22.873897
20255,12.158160,21.176893,23.500314
20256,17.634360,21.336715,22.530740
20257,51.771480,58.077553,52.540667
20259,12.432230,21.257639,24.684281
20261,43.745760,60.311458,44.456798
20262,25.639600,26.203142,24.805227
20263,20.855060,20.815659,21.189130
20264,16.582530,21.845473,21.994609
20265,4.578480,11.372992,20.312059
20266,49.557690,37.780339,30.307938
20267,18.017480,23.818083,20.935438
20268,11.992710,21.586462,22.452138
20269,19.130080,24.139339,20.799876
20270,6.778370,21.643133,21.883190
20271,8.349050,20.127914,21.785293
20272,12.664370,20.301985,19.599671
20273,12.463400,19.338929,19.966231
20275,14.939640,20.835946,20.452328
20276,18.626940,19.355226,19.599671
20277,9.612080,19.823436,21.278247
20278,6.274240,15.510565,20.173077
20280,17.024890,16.407923,17.463592
20281,9.810010,17.624731,19.528164
20282,12.824700,18.615014,19.602873
20283,12.823520,17.492450,18.930518
20284,11.797480,19.660070,19.228868
20285,4.332200,16.886897,21.304332
20286,50.559310,40.469156,33.488278
20288,21.121750,16.523319,17.733983
20289,10.010000,19.763767,18.430537
20290,21.565850,18.578059,20.168703
20291,9.752890,18.769602,19.450802
20292,9.805180,17.554424,19.449563
20295,6.048780,19.924266,20.968547
20296,18.646660,17.779765,18.963526
20297,35.089000,26.938185,23.105183
20298,11.285940,19.187148,20.071748
20299,10.611510,19.712320,20.040971
20300,17.147870,17.029159,19.688091
20301,8.313150,18.281341,20.453149
20302,2.356870,8.954192,15.283452
20303,18.387800,19.636036,19.449563
20304,5.885880,15.071955,17.627122
20305,2.566760,9.016989,14.678470
20306,32.270920,23.636420,21.974422
20307,13.525310,17.184321,17.701852
20309,8.112120,18.385934,18.307503
20310,9.749850,18.643502,18.913023
20311,18.167240,18.279418,18.744480
20313,27.158040,20.983300,20.959570
20314,18.852050,17.289399,18.498553
20315,16.644510,16.007784,17.193412
20316,27.234360,29.912559,27.895842
20317,14.823310,16.373126,16.511909
20319,11.811720,15.665710,17.095906
20320,13.480120,16.211722,16.999701
20321,27.627970,24.871143,24.728164
20322,5.578640,14.136830,16.330971
20323,24.407970,28.298799,28.417953
20324,10.957410,16.144631,17.262187
20325,5.267780,11.963382,14.258521
20326,15.648400,16.236945,16.791426
20327,11.900460,16.011968,17.262187
20328,9.333870,16.608198,17.061233
20329,11.053550,15.135877,17.482852
20330,13.795360,16.019732,17.264250
20332,12.968450,13.477142,14.726195
20334,0.186320,21.750101,18.507331
20335,11.781100,15.940719,16.969793
20336,8.610190,16.540765,16.977643
20337,13.824690,18.974092,18.497074
20338,8.137390,15.844785,16.834301
20340,8.068820,21.806663,17.763055
20341,8.461830,15.061012,15.128929
